id_seller;id_item;count;price
0;4;27;3
0;11;7;47
0;6;22;1
0;7;10;3
0;8;12;3
0;14;3;5
0;0;13;3
0;17;12;41
0;12;6;28
0;10;6;3
0;16;13;393
0;18;6;3
0;19;1;24
0;1;19;39
0;3;23;444
0;15;9;1
0;9;28;4
1;12;27;23
1;4;11;2
1;15;18;2
1;17;10;33
1;9;1;2
1;0;21;1
1;3;2;421
1;11;12;31
2;11;1;28
2;17;26;45
2;7;20;5
2;1;10;45
2;12;10;48
3;2;27;3
3;4;10;5
3;14;28;2
3;19;14;45
4;14;3;1
4;1;15;43
4;11;14;45
4;0;14;1
4;13;22;3
4;10;18;2
4;3;7;421
4;9;6;4
4;5;6;50
4;18;29;3
4;6;15;3
4;15;2;2
4;8;23;5
4;16;3;345
4;17;6;20
4;7;25;4
4;2;10;5
5;1;14;22
5;11;28;34
5;4;8;2
5;8;25;1
5;9;14;4
6;11;30;49
6;7;28;2
6;19;10;29
6;3;5;314
6;0;17;1
6;13;16;4
6;16;26;333
6;15;19;1
6;1;7;43
6;18;19;2
6;4;22;5
6;6;4;4
6;12;25;36
6;5;17;46
6;14;30;4
6;9;3;1
6;8;10;1
7;14;11;4
7;2;9;1
7;15;7;5
7;4;4;4
7;13;28;1
7;7;4;5
7;12;30;30
7;11;30;20
7;0;20;4
7;16;27;209
7;5;30;21
7;10;14;4
7;18;16;3
7;9;13;2
7;1;25;35
8;3;5;418
8;4;13;1
8;17;24;46
8;13;19;5
8;5;4;30
8;0;22;4
8;1;29;20
8;14;6;4
8;18;27;5
8;16;26;338
8;12;24;25
8;8;7;3
8;9;15;5
8;11;15;33
8;15;12;5
9;17;11;47
9;15;6;4
9;19;24;48
9;14;12;5
9;2;27;1
9;0;12;1
9;4;11;2
9;8;22;3
9;1;20;30
9;5;21;20
9;7;17;1
9;12;21;26
9;13;14;5
10;7;13;3
10;5;27;42
10;8;1;2
10;9;25;4
10;16;15;388
10;10;21;1
10;19;3;40
10;0;10;3
10;11;14;27
10;1;10;36
10;4;27;1
10;14;14;2
10;3;24;384
10;13;15;2
10;18;2;3
10;12;5;31
10;17;20;43
10;2;3;3
10;15;4;4
10;6;9;3
11;3;8;253
11;10;25;2
11;16;6;277
11;1;17;42
11;9;21;2
11;6;3;5
11;11;7;26
11;12;21;46
11;13;10;2
11;2;1;2
11;7;17;2
11;4;7;3
11;0;15;2
12;0;3;5
12;5;28;34
12;14;26;3
12;7;29;3
13;4;14;2
13;12;17;20
13;7;12;2
13;8;1;4
13;17;23;43
13;15;9;2
13;19;25;39
13;18;19;3
13;6;21;3
14;0;1;4
14;17;30;37
14;16;6;289
14;6;20;4
14;12;19;34
14;4;3;1
14;14;29;3
14;15;20;1
14;13;1;3
14;18;4;5
14;11;4;33
14;8;26;5
14;1;17;40
14;3;17;405
14;5;3;42
