discount;delivery
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]
[1,4],[0.95];[30,400],[30*((x-390)/10)**0.20]

