discount;delivery
[1,2],[3,4],[2];[x+2, 1],[x+1, 2],[x+4]
[3,4],[4,4],[3];[x+5,2],[x+2]
[3,3],[1];[x+1,5],[x+5]
[1,2],[3,4],[3];[x+2, 1],[x+1, 2],[x+4]
[1,2],[3, 4],[2];[x+2,5],[x+5]
[3,4],[4,4],[3];[x+2, 1],[x+1, 2],[x+4]
[3,3],[1];[x+4,2],[x+2]
[1,2],[3,4],[3];[x+2, 1],[x+1, 2],[x+4]
[1,2],[3,4],[2];[x+1,6],[x+6]
[3,4],[4,4],[3];[x+2, 1],[x+1, 2],[x+4]
[3,3],[1];[x+1,5],[x+5]
[1,2],[3,4],[3];[x+2, 1],[x+1, 2],[x+4]
[1,2],[3,4],[2];[x+2,1],[x+1]
[3,4],[4,4],[3];[x+2, 1],[x+1, 2],[x+4]
[3,3],[1];[x+3,4],[x+4]
[1,2],[3,4],[3];[x+2, 1],[x+1, 2],[x+4]
[3,4],[2];[x+5,7],[x+7]
[6,5],[1,5],[3];[x+2, 1],[x+1, 2],[x+4]
